trackingcode_name;awareness_type;publisher;publisher_id;campaign;campaign_id;model;model_id;placement_id;lineitem_id;new_lineitem_name;channel;channel_id;strategy;strategy_id;retargeting;sem_type;bulk_prospecting
iese-eu_v1mp_DEG-MIM-DEMAND-GEN-DISPLAY-GOOGLE-ONLINE-PAID-24-25-EN_dis_prs-1_DB-VERSION2_320x100;;;17099;iese-eu_v1mp_deg-mim-demand-gen-display-google-online-paid-24-25-en_dis;;;;;;iese-eu_v1mp_DEG-MIM-DEMAND-GEN-DISPLAY-GOOGLE-ONLINE-PAID-24-25-EN_dis_prs-1;;1642;;2430;;;
iese-eu_v1mp_DEG-MIM-DEMAND-GEN-DISPLAY-GOOGLE-ONLINE-PAID-24-25-EN_dis_prs-1_DB-VERSION2_970x250;;;17099;iese-eu_v1mp_deg-mim-demand-gen-display-google-online-paid-24-25-en_dis;;;;;;iese-eu_v1mp_DEG-MIM-DEMAND-GEN-DISPLAY-GOOGLE-ONLINE-PAID-24-25-EN_dis_prs-1;;1642;;2430;;;
iese-eu_v1mp_DEG-MIM-DEMAND-GEN-DISPLAY-GOOGLE-ONLINE-PAID-24-25-EN_dis_prs-1_DB-VERSION2_160x600;;;17099;iese-eu_v1mp_deg-mim-demand-gen-display-google-online-paid-24-25-en_dis;;;;;;iese-eu_v1mp_DEG-MIM-DEMAND-GEN-DISPLAY-GOOGLE-ONLINE-PAID-24-25-EN_dis_prs-1;;1642;;2430;;;
iese-eu_v1mp_DEG-MIM-DEMAND-GEN-DISPLAY-GOOGLE-ONLINE-PAID-24-25-EN_dis_prs-1_DB-VERSION2_728x90;;;17099;iese-eu_v1mp_deg-mim-demand-gen-display-google-online-paid-24-25-en_dis;;;;;;iese-eu_v1mp_DEG-MIM-DEMAND-GEN-DISPLAY-GOOGLE-ONLINE-PAID-24-25-EN_dis_prs-1;;1642;;2430;;;
iese-eu_v1mp_DEG-MIM-DEMAND-GEN-DISPLAY-GOOGLE-ONLINE-PAID-24-25-EN_dis_rtg-1_DB-VERSION2_300x600;;;17099;iese-eu_v1mp_deg-mim-demand-gen-display-google-online-paid-24-25-en_dis;;;;;;iese-eu_v1mp_DEG-MIM-DEMAND-GEN-DISPLAY-GOOGLE-ONLINE-PAID-24-25-EN_dis_rtg-1;;1642;;2429;;;
iese-eu_v1mp_DEG-MIM-DEMAND-GEN-DISPLAY-GOOGLE-ONLINE-PAID-24-25-EN_dis_rtg-1_DB-VERSION2_300x250;;;17099;iese-eu_v1mp_deg-mim-demand-gen-display-google-online-paid-24-25-en_dis;;;;;;iese-eu_v1mp_DEG-MIM-DEMAND-GEN-DISPLAY-GOOGLE-ONLINE-PAID-24-25-EN_dis_rtg-1;;1642;;2429;;;
iese-eu_v1mp_DEG-MIM-DEMAND-GEN-DISPLAY-GOOGLE-ONLINE-PAID-24-25-EN_dis_rtg-1_DB-VERSION2_320x100;;;17099;iese-eu_v1mp_deg-mim-demand-gen-display-google-online-paid-24-25-en_dis;;;;;;iese-eu_v1mp_DEG-MIM-DEMAND-GEN-DISPLAY-GOOGLE-ONLINE-PAID-24-25-EN_dis_rtg-1;;1642;;2429;;;
iese-eu_v1mp_DEG-MIM-DEMAND-GEN-DISPLAY-GOOGLE-ONLINE-PAID-24-25-EN_dis_rtg-1_DB-VERSION2_970x250;;;17099;iese-eu_v1mp_deg-mim-demand-gen-display-google-online-paid-24-25-en_dis;;;;;;iese-eu_v1mp_DEG-MIM-DEMAND-GEN-DISPLAY-GOOGLE-ONLINE-PAID-24-25-EN_dis_rtg-1;;1642;;2429;;;
iese-eu_v1mp_DEG-MIM-DEMAND-GEN-DISPLAY-GOOGLE-ONLINE-PAID-24-25-EN_dis_rtg-1_DB-VERSION2_160x600;;;17099;iese-eu_v1mp_deg-mim-demand-gen-display-google-online-paid-24-25-en_dis;;;;;;iese-eu_v1mp_DEG-MIM-DEMAND-GEN-DISPLAY-GOOGLE-ONLINE-PAID-24-25-EN_dis_rtg-1;;1642;;2429;;;
iese-eu_v1mp_DEG-MIM-DEMAND-GEN-DISPLAY-GOOGLE-ONLINE-PAID-24-25-EN_dis_rtg-1_DB-VERSION2_728x90;;;17099;iese-eu_v1mp_deg-mim-demand-gen-display-google-online-paid-24-25-en_dis;;;;;;iese-eu_v1mp_DEG-MIM-DEMAND-GEN-DISPLAY-GOOGLE-ONLINE-PAID-24-25-EN_dis_rtg-1;;1642;;2429;;;
